Internship_ID,Company,Required_Field,Required_Skills,Location,Role
292,"Wang, Martinez and Jordan",Electrical Engineering,"Embedded Systems, Power Systems",Kaduna,Electrical Engineering Intern
293,Webb-Adams,Civil Engineering,Surveying,Enugu,Civil Engineering Intern
294,Davis LLC,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations",Kano,Petroleum Engineering Intern
295,Frank Ltd,Mechanical Engineering,"Finite Element Analysis, MATLAB",Kaduna,Mechanical Engineering Intern
296,Gilmore and Sons,Nursing Science,Clinical Practice,Benin City,Nursing Intern
297,"Howell, Hall and Owens",Medical Laboratory Science,Lab Techniques,Lagos,Administrative Intern
298,Peck-Martin,Medical Laboratory Science,"Pathology, Biochemistry",Lagos,Administrative Intern
299,Jackson-Pope,Business Administration,Management,Onitsha,Business Intern
300,Weaver-Hunt,Computer Science,"Python, SQL, ML",Ibadan,Software Engineering Intern
301,"Powell, Savage and Leon",Medical Laboratory Science,Lab Techniques,Enugu,Administrative Intern
302,Sanchez PLC,Electrical Engineering,Signal Processing,Aba,Electrical Engineering Intern
303,"Johnson, Williams and Rice",Electrical Engineering,"Signal Processing, Power Systems",Kano,Electrical Engineering Intern
304,Johnson-Davis,Architecture,Urban Planning,Aba,Administrative Intern
305,James Inc,Nursing Science,"Patient Care, Clinical Practice",Lagos,Nursing Intern
306,Cooper-Spears,Mechanical Engineering,"SolidWorks, MATLAB, Finite Element Analysis",Abuja,Mechanical Engineering Intern
307,"Martin, Fitzpatrick and Brown",Architecture,"Urban Planning, Sustainable Architecture",Benin City,Administrative Intern
308,Charles LLC,Nursing Science,Pharmacology,Kaduna,Nursing Intern
309,"Kelly, Hall and Davis",Business Administration,"Management, Human Resources",Lagos,HR Intern
310,Jenkins and Sons,Electrical Engineering,Power Systems,Aba,Electrical Engineering Intern
311,Villa-Gonzales,Electrical Engineering,"C++, Embedded Systems",Aba,Electrical Engineering Intern
312,Smith-Campbell,Electrical Engineering,Signal Processing,Port Harcourt,Electrical Engineering Intern
313,Wright LLC,Architecture,Sustainable Architecture,Aba,Administrative Intern
314,Thomas PLC,Nursing Science,"Patient Care, Anatomy, Clinical Practice",Ibadan,Nursing Intern
315,Allen Ltd,Pharmacy,"Drug Design, Chemistry",Ibadan,Design Intern
316,Macdonald-Deleon,Pharmacy,Chemistry,Kano,Administrative Intern
317,Cook-Krueger,Business Administration,Management,Aba,Business Intern
318,Gonzalez Group,Computer Science,"ML, C++",Enugu,Software Engineering Intern
319,"Reed, Stevenson and Carey",Business Administration,"Management, Human Resources, Marketing",Aba,HR Intern
320,"Garcia, Costa and Todd",Petroleum Engineering,"Drilling, Geophysics, Reservoir Engineering",Lagos,Petroleum Engineering Intern
321,"Ford, Aguirre and Romero",Computer Science,Java,Benin City,Software Engineering Intern
322,Murray-Fox,Mechanical Engineering,SolidWorks,Kaduna,Mechanical Engineering Intern
323,"Jordan, Davidson and Wagner",Electrical Engineering,"Signal Processing, C++",Kaduna,Electrical Engineering Intern
324,Lopez and Sons,Computer Science,Java,Aba,Software Engineering Intern
325,"Warren, Gomez and Walker",Civil Engineering,"AutoCAD, Structural Analysis",Abuja,Civil Engineering Intern
326,"Morales, Morgan and Williams",Architecture,"Sustainable Architecture, AutoCAD, Urban Planning",Kano,Administrative Intern
327,Rojas Ltd,Electrical Engineering,Signal Processing,Kano,Electrical Engineering Intern
328,White-Ortega,Computer Science,"ML, C++, SQL",Aba,Software Engineering Intern
329,Jones Inc,Nursing Science,Clinical Practice,Port Harcourt,Nursing Intern
330,Brown PLC,Pharmacy,Clinical Pharmacy,Onitsha,Administrative Intern
331,"Weiss, Patterson and Davis",Computer Science,"Python, SQL",Abuja,Software Engineering Intern
332,Krueger PLC,Electrical Engineering,Signal Processing,Onitsha,Electrical Engineering Intern
333,Robbins Group,Pharmacy,"Clinical Pharmacy, Pharmacology, Chemistry",Lagos,Administrative Intern
334,Cook Group,Business Administration,"Marketing, Management",Aba,Business Intern
335,"Gomez, Miller and Walsh",Business Administration,"Project Management, Marketing, Finance",Abuja,Finance Intern
336,"Watkins, Berry and Thomas",Civil Engineering,"Structural Analysis, AutoCAD, Construction Management",Lagos,Civil Engineering Intern
337,"Tucker, Anderson and Dorsey",Pharmacy,"Chemistry, Pharmacology, Clinical Pharmacy",Ibadan,Administrative Intern
338,"Garcia, Hansen and Andrade",Business Administration,Project Management,Abuja,Project Management Intern
339,Austin Inc,Medical Laboratory Science,"Pathology, Lab Techniques, Biochemistry",Ibadan,Administrative Intern
340,Hale-Perez,Pharmacy,"Drug Design, Chemistry, Clinical Pharmacy",Abuja,Design Intern
341,Nunez and Sons,Business Administration,"Management, Project Management, Finance",Kaduna,Finance Intern
342,Smith and Sons,Business Administration,Management,Enugu,Business Intern
343,"Anderson, Jones and Powell",Pharmacy,"Chemistry, Clinical Pharmacy",Port Harcourt,Administrative Intern
344,"Johnson, Wiley and Hanson",Petroleum Engineering,Drilling,Onitsha,Petroleum Engineering Intern
345,"Walsh, Vang and Perez",Petroleum Engineering,Geophysics,Benin City,Petroleum Engineering Intern
346,Henderson LLC,Nursing Science,"Anatomy, Clinical Practice, Patient Care",Enugu,Nursing Intern
347,Gonzalez LLC,Civil Engineering,AutoCAD,Ibadan,Civil Engineering Intern
348,Kelly-Gross,Petroleum Engineering,Drilling,Enugu,Petroleum Engineering Intern
349,"Bartlett, Davis and Stanley",Petroleum Engineering,"Oil Field Operations, Geophysics",Enugu,Petroleum Engineering Intern
350,Blair PLC,Business Administration,"Management, Finance",Aba,Finance Intern
351,"Lewis, Wise and Walsh",Architecture,"Urban Planning, Sustainable Architecture",Kaduna,Administrative Intern
352,Stewart Ltd,Electrical Engineering,"Signal Processing, Power Systems, C++",Benin City,Electrical Engineering Intern
353,Munoz PLC,Mechanical Engineering,"SolidWorks, MATLAB",Port Harcourt,Mechanical Engineering Intern
354,Chan-Johnson,Business Administration,"Management, Project Management, Marketing",Abuja,Project Management Intern
355,Baker PLC,Computer Science,"C++, Java, ML",Benin City,Software Engineering Intern
356,"Norris, Rollins and Taylor",Civil Engineering,Structural Analysis,Ibadan,Civil Engineering Intern
357,Smith Group,Petroleum Engineering,"Reservoir Engineering, Geophysics, Drilling",Kano,Petroleum Engineering Intern
358,Chaney Inc,Computer Science,"Python, Java, SQL",Benin City,Software Engineering Intern
359,"Klein, Moore and Harris",Pharmacy,"Clinical Pharmacy, Chemistry, Pharmacology",Lagos,Administrative Intern
360,Mcguire-Patel,Medical Laboratory Science,Microscopy,Abuja,Administrative Intern
361,Macias-Stevens,Pharmacy,"Chemistry, Drug Design, Pharmacology",Abuja,Design Intern
362,Hart Group,Mechanical Engineering,"MATLAB, Finite Element Analysis",Kaduna,Mechanical Engineering Intern
363,Sloan-Nguyen,Electrical Engineering,"C++, Embedded Systems, Power Systems",Abuja,Electrical Engineering Intern
364,"Peters, Green and Austin",Computer Science,Java,Abuja,Software Engineering Intern
365,Hernandez Group,Business Administration,"Human Resources, Management",Enugu,HR Intern
366,Jackson-Ho,Mechanical Engineering,CAD,Abuja,Mechanical Engineering Intern
367,Moore and Sons,Mechanical Engineering,CAD,Onitsha,Mechanical Engineering Intern
368,"Garcia, Wagner and Burgess",Civil Engineering,"Structural Analysis, Construction Management",Aba,Civil Engineering Intern
369,Tyler LLC,Medical Laboratory Science,"Lab Techniques, Microscopy",Kano,Administrative Intern
370,"Alvarado, Jordan and Cross",Nursing Science,"Anatomy, Pharmacology, Clinical Practice",Aba,Nursing Intern
371,Gutierrez Ltd,Mechanical Engineering,"MATLAB, Finite Element Analysis",Port Harcourt,Mechanical Engineering Intern
372,Ross-Wilson,Nursing Science,"Clinical Practice, Patient Care",Kaduna,Nursing Intern
373,Velazquez-Chang,Architecture,"Urban Planning, Building Design",Onitsha,Design Intern
374,Bowers-Burnett,Architecture,"Building Design, AutoCAD, Sustainable Architecture",Port Harcourt,Design Intern
375,"Francis, Jordan and Lewis",Petroleum Engineering,Reservoir Engineering,Kano,Petroleum Engineering Intern
376,Barnes-Ellison,Petroleum Engineering,"Reservoir Engineering, Drilling, Geophysics",Lagos,Petroleum Engineering Intern
377,"Ward, Bailey and Miller",Nursing Science,Clinical Practice,Lagos,Nursing Intern
378,"Moore, Smith and Douglas",Civil Engineering,"Construction Management, Surveying",Benin City,Civil Engineering Intern
379,"George, Frederick and Marshall",Petroleum Engineering,Reservoir Engineering,Enugu,Petroleum Engineering Intern
380,"Higgins, Oneill and Miller",Computer Science,C++,Port Harcourt,Software Engineering Intern
381,"Dean, Nguyen and Shelton",Computer Science,SQL,Enugu,Software Engineering Intern
382,"Wall, Ross and Fletcher",Architecture,AutoCAD,Kano,Administrative Intern
383,"Taylor, Hill and Osborn",Business Administration,"Project Management, Finance",Ibadan,Finance Intern
384,Allison-Lewis,Computer Science,"C++, Java, SQL",Kano,Software Engineering Intern
385,Barron PLC,Nursing Science,"Patient Care, Anatomy, Pharmacology",Aba,Nursing Intern
386,"Morales, Griffin and Anderson",Business Administration,"Marketing, Human Resources, Management",Aba,HR Intern
387,"Alexander, Ibarra and Garrett",Business Administration,"Finance, Marketing, Human Resources",Aba,HR Intern
388,Douglas-Fernandez,Pharmacy,Drug Design,Aba,Design Intern
389,Bray LLC,Electrical Engineering,Signal Processing,Enugu,Electrical Engineering Intern
390,Valdez LLC,Civil Engineering,Structural Analysis,Onitsha,Civil Engineering Intern
391,Cruz-Martinez,Civil Engineering,"Structural Analysis, Construction Management",Abuja,Civil Engineering Intern
392,Taylor-Ortega,Nursing Science,Clinical Practice,Enugu,Nursing Intern
393,Obrien PLC,Civil Engineering,"Structural Analysis, Construction Management, AutoCAD",Kaduna,Civil Engineering Intern
394,"Castillo, Hernandez and Santiago",Pharmacy,Drug Design,Lagos,Design Intern
395,Sanchez-Nolan,Medical Laboratory Science,Biochemistry,Ibadan,Administrative Intern
396,Allison Ltd,Business Administration,"Human Resources, Marketing, Project Management",Ibadan,HR Intern
397,Bell Inc,Nursing Science,Anatomy,Enugu,Nursing Intern
398,Lee-Stuart,Petroleum Engineering,"Geophysics, Oil Field Operations",Benin City,Petroleum Engineering Intern
399,"Moss, Harvey and Joseph",Business Administration,"Human Resources, Project Management, Marketing",Port Harcourt,HR Intern
400,Ward PLC,Business Administration,"Management, Marketing, Project Management",Abuja,Project Management Intern
401,Barnes-Brooks,Mechanical Engineering,CAD,Lagos,Mechanical Engineering Intern
402,"Maldonado, Rodriguez and Washington",Business Administration,Project Management,Abuja,Project Management Intern
403,"Cunningham, Andersen and Johnson",Medical Laboratory Science,"Biochemistry, Pathology",Benin City,Administrative Intern
404,"Thompson, Barr and Thomas",Computer Science,"SQL, Python, ML",Benin City,Software Engineering Intern
405,"Wright, Walls and Klein",Electrical Engineering,"Circuit Design, Signal Processing",Aba,Electrical Engineering Intern
406,"Lane, Taylor and Peck",Computer Science,Java,Port Harcourt,Software Engineering Intern
407,Hubbard LLC,Pharmacy,"Chemistry, Pharmacology",Benin City,Administrative Intern
408,Fields and Sons,Medical Laboratory Science,"Biochemistry, Pathology, Microscopy",Benin City,Administrative Intern
409,York Inc,Electrical Engineering,"Signal Processing, Power Systems",Onitsha,Electrical Engineering Intern
410,"Baker, Kirby and Zimmerman",Nursing Science,Pharmacology,Ibadan,Nursing Intern
411,Holmes-Johnson,Civil Engineering,"Structural Analysis, AutoCAD, Surveying",Aba,Civil Engineering Intern
412,Taylor-Brooks,Electrical Engineering,"Embedded Systems, Circuit Design, Signal Processing",Enugu,Electrical Engineering Intern
413,"Williams, Washington and Calderon",Nursing Science,"Clinical Practice, Anatomy, Patient Care",Aba,Nursing Intern
414,Powell LLC,Business Administration,"Project Management, Management",Onitsha,Project Management Intern
415,Wilkins Group,Mechanical Engineering,"Finite Element Analysis, MATLAB",Abuja,Mechanical Engineering Intern
416,Baker LLC,Computer Science,"C++, ML, Python",Kaduna,Software Engineering Intern
417,Murray Inc,Computer Science,"ML, Java, SQL",Enugu,Software Engineering Intern
418,Wade-Barrett,Business Administration,"Finance, Project Management",Kano,Finance Intern
419,Mcdaniel Ltd,Pharmacy,Pharmacology,Lagos,Administrative Intern
420,Ramsey-Buchanan,Computer Science,"SQL, Java, Python",Kano,Software Engineering Intern
421,Mcdonald-Bell,Business Administration,Finance,Ibadan,Finance Intern
422,Caldwell and Sons,Nursing Science,"Anatomy, Patient Care",Onitsha,Nursing Intern
423,"Mcmillan, Trevino and Allison",Nursing Science,"Pharmacology, Clinical Practice, Patient Care",Enugu,Nursing Intern
424,Pratt-Odom,Computer Science,"SQL, Java",Onitsha,Software Engineering Intern
425,Smith Ltd,Computer Science,SQL,Benin City,Software Engineering Intern
426,Silva-Arellano,Pharmacy,"Drug Design, Pharmacology",Aba,Design Intern
427,Mercado LLC,Computer Science,SQL,Ibadan,Software Engineering Intern
428,"Bush, Hanson and Brown",Mechanical Engineering,"Finite Element Analysis, SolidWorks, MATLAB",Aba,Mechanical Engineering Intern
429,"Bell, Ray and Ochoa",Nursing Science,"Clinical Practice, Anatomy, Pharmacology",Kano,Nursing Intern
430,Williams-Phillips,Civil Engineering,"Surveying, Structural Analysis",Aba,Civil Engineering Intern
431,"Kane, Higgins and Waller",Architecture,"Sustainable Architecture, Urban Planning",Aba,Administrative Intern
432,Reyes-Sanchez,Architecture,Building Design,Benin City,Design Intern
433,"Walsh, Cox and Stark",Business Administration,Finance,Ibadan,Finance Intern
434,Adams PLC,Business Administration,Project Management,Abuja,Project Management Intern
435,Hamilton PLC,Civil Engineering,Surveying,Lagos,Civil Engineering Intern
436,Chen LLC,Architecture,Urban Planning,Aba,Administrative Intern
437,"Hill, Galloway and Williams",Petroleum Engineering,Drilling,Lagos,Petroleum Engineering Intern
438,Hardin-Small,Medical Laboratory Science,Lab Techniques,Onitsha,Administrative Intern
439,Phillips-Allen,Medical Laboratory Science,"Lab Techniques, Biochemistry, Microscopy",Aba,Administrative Intern
440,Bennett and Sons,Nursing Science,"Patient Care, Clinical Practice",Enugu,Nursing Intern
441,Simon-Bailey,Mechanical Engineering,"MATLAB, SolidWorks",Ibadan,Mechanical Engineering Intern
442,Norris-Pena,Business Administration,"Human Resources, Project Management, Marketing",Abuja,HR Intern
443,"Fitzgerald, Booth and Young",Business Administration,"Management, Finance, Human Resources",Benin City,HR Intern
444,"Smith, Campbell and Phillips",Nursing Science,Patient Care,Kaduna,Nursing Intern
445,"Brown, Mccarty and Lopez",Civil Engineering,Structural Analysis,Kano,Civil Engineering Intern
446,"Adams, Wells and Trujillo",Pharmacy,"Chemistry, Pharmacology",Port Harcourt,Administrative Intern
447,Caldwell Group,Civil Engineering,AutoCAD,Aba,Civil Engineering Intern
448,"Andrews, Cannon and Collins",Architecture,Sustainable Architecture,Ibadan,Administrative Intern
449,Williams Group,Pharmacy,"Clinical Pharmacy, Chemistry, Pharmacology",Lagos,Administrative Intern
450,Hart-Ramos,Pharmacy,"Clinical Pharmacy, Pharmacology",Aba,Administrative Intern
451,"Manning, Hill and Hanson",Petroleum Engineering,"Reservoir Engineering, Geophysics, Oil Field Operations",Lagos,Petroleum Engineering Intern
452,"Wright, Kim and Torres",Mechanical Engineering,"MATLAB, Finite Element Analysis",Lagos,Mechanical Engineering Intern
453,"Melendez, Gray and Dunn",Nursing Science,"Patient Care, Pharmacology",Kano,Nursing Intern
454,Valencia-Diaz,Petroleum Engineering,"Drilling, Reservoir Engineering, Oil Field Operations",Kaduna,Petroleum Engineering Intern
455,Peterson Ltd,Business Administration,"Marketing, Finance, Human Resources",Onitsha,HR Intern
456,Schmitt-Lindsey,Medical Laboratory Science,"Biochemistry, Lab Techniques, Microscopy",Onitsha,Administrative Intern
457,"Clements, Young and Castaneda",Architecture,"Building Design, AutoCAD",Aba,Design Intern
458,Baldwin-Kelly,Electrical Engineering,Power Systems,Onitsha,Electrical Engineering Intern
459,"Robbins, Stevens and Lee",Electrical Engineering,"C++, Embedded Systems",Ibadan,Electrical Engineering Intern
460,Lee-Hall,Mechanical Engineering,"MATLAB, CAD",Kaduna,Mechanical Engineering Intern
461,Clark Inc,Electrical Engineering,Circuit Design,Enugu,Electrical Engineering Intern
462,"Blake, Oliver and Lopez",Architecture,"Building Design, AutoCAD, Sustainable Architecture",Abuja,Design Intern
